ID_Parcela;Predio;INDV;CAP;DAP_cm;Angulo -;Angulo +;Angulo +2;Distancia;HT_m;HC_m;Ctronco;A_Basal (m2);Vol_T;Vol_C;;;;;;;
 PO67;Porvenir;24;73,40;23,36;10;50;30;25,10;15,06;10,04;;0,04;0,29;0,19;;;;;;;
 PO67;Porvenir;31;73,60;23,43;10;40;15;26,10;13,05;6,53;;0,04;0,25;0,13;;;;;;;
 PO67;Porvenir;18;75,50;24,03;10;70;30;22,10;17,68;8,84;;0,05;0,36;0,18;;;;;;;
 PO67;Porvenir;49;77,30;24,61;10;60;25;23,90;16,73;8,37;;0,05;0,36;0,18;;;;;;;
 PO67;Porvenir;3;78,30;24,92;10;55;25;16,90;10,99;5,92;;0,05;0,24;0,13;;;;;;;
PL104;Porvenir;2;31,5;10,03;10;35;10;17,7;7,97;3,54;;0,01;0,03;0,01;;;;;;;
PL104;Porvenir;20;34,7;11,05;10;40;15;14,8;7,40;3,70;;0,01;0,03;0,02;;;;;;;
PL104;Porvenir;27;36,1;11,49;10;30;15;20;8,00;5,00;;0,01;0,04;0,02;;;;;;;
PL104;Porvenir;31;36,7;11,68;10;30;10;18,72;7,49;3,74;;0,01;0,04;0,02;;;;;;;
PL104;Porvenir;10;39,6;12,61;10;35;10;20,64;9,29;4,13;2;0,01;0,05;0,02;;;;;;;
PL104;Porvenir;49;40,1;12,76;10;35;15;20,36;9,16;5,09;2;0,01;0,05;0,03;;;;;;;
PL104;Porvenir;7;40,5;12,89;10;30;10;18,52;7,41;3,70;2;0,01;0,04;0,02;;;;;;;
PL104;Porvenir;5;40,8;12,99;10;45;20;17,44;9,59;5,23;;0,01;0,06;0,03;;;;;;;
PL104;Porvenir;32;41,6;13,24;10;35;15;18,63;8,38;4,66;2;0,01;0,05;0,03;;;;;;;
PL104;Porvenir;39;41,9;13,34;10;30;15;21,12;8,45;5,28;;0,01;0,05;0,03;;;;;;;
PL104;Porvenir;25;42,3;13,46;10;30;10;22,65;9,06;4,53;2;0,01;0,06;0,03;;;;;;;
PL104;Porvenir;26;43;13,69;10;25;10;36,1;12,64;7,22;2;0,01;0,08;0,05;;;;;;;
PL104;Porvenir;21;43,3;13,78;10;35;15;20,84;9,38;5,21;;0,01;0,06;0,04;;;;;;;
PL104;Porvenir;37;43,5;13,85;10;25;10;19,2;6,72;3,84;2;0,02;0,05;0,03;;;;;;;
PL104;Porvenir;24;43,9;13,97;10;25;10;22;7,70;4,40;2;0,02;0,05;0,03;;;;;;;
PL104;Porvenir;23;44,4;14,13;10;30;15;19,8;7,92;4,95;2;0,02;0,06;0,04;;;;;;;
PL104;Porvenir;18;44,6;14,20;10;25;10;19,9;6,97;3,98;;0,02;0,05;0,03;;;;;;;
PL104;Porvenir;16;44,7;14,23;10;50;15;15,64;9,38;3,91;;0,02;0,07;0,03;;;;;;;
PL104;Porvenir;28;45;14,32;10;30;15;23,93;9,57;5,98;;0,02;0,07;0,04;;;;;;;
PL104;Porvenir;12;45;14,32;10;30;15;20,95;8,38;5,24;;0,02;0,06;0,04;;;;;;;
PL104;Porvenir;42;45,6;14,51;10;15;5;18,3;4,58;2,75;;0,02;0,03;0,02;;;;;;;
PL104;Porvenir;6;46,3;14,74;10;40;20;18,44;9,22;5,53;2;0,02;0,07;0,04;;;;;;;
PL104;Porvenir;40;46,7;14,87;10;40;15;20,63;10,32;5,16;;0,02;0,08;0,04;;;;;;;
PL104;Porvenir;33;47,3;15,06;10;35;15;20,82;9,37;5,21;2;0,02;0,08;0,04;;;;;;;
PL104;Porvenir;46;47,8;15,22;10;30;15;21,96;8,78;5,49;;0,02;0,07;0,05;;;;;;;
PL104;Porvenir;11;48;15,28;10;35;15;17,53;7,89;4,38;;0,02;0,07;0,04;;;;;;;
