ID_Parcela;Predio;INDV;CAP_cm;DAP_cm;Angulo -;Angulo +;Angulo +2;Distancia;HT_m;HC_m;Ctronco;A_Basal (m2);Vol_T;Vol_C
PL129;Pericuara ;10;31,50;10,03;10,00;20,00;0,00;15,00;4,50;1,50;;0,01;0,02;0,01
PL129;Pericuara ;10;31,50;10,03;10;20;0;15,00;4,50;1,50;;0,01;0,02;0,01
PL169;Pericuara ;43;31,5;10,03;10;35;10;19,84;8,93;3,97;;0,01;0,03;0,01
PL154;Pericuara ;9;31,50;10,03;10;35;15;20,22;9,10;5,06;;0,01;0,03;0,02
PO6;Pericuara ;32;31,60;10,06;10,00;40,00;20,00;6,66;3,33;2,00;1;0,01;0,01;0,01
PL9;Pericuara ;32B;31,60;10,06;10,00;35,00;20,00;14,70;6,62;4,41;2;0,01;0,02;0,02
PL8;Pericuara ;28;31,60;10,06;10,00;30,00;5,00;17,80;7,12;2,67;2;0,01;0,03;0,01
PL33;Pericuara ;21;31,60;10,06;10,00;25,00;0,00;21,80;7,63;2,18;2;0,01;0,03;0,01
PL129;Pericuara ;3;31,70;10,09;10,00;30,00;0,00;12,30;4,92;1,23;3;0,01;0,02;0,00
PL129;Pericuara ;3;31,70;10,09;10;30;0;12,3;4,92;1,23;3;0,01;0,02;0,00
PL163;Pericuara ;13;31,70;10,09;10;30;15;17;6,80;4,25;2;0,01;0,02;0,02
PL1;Pericuara ;14;31,80;10,12;10,00;10,00;5,00;19,60;3,92;2,94;;0,01;0,01;0,01
PL8;Pericuara ;18;31,80;10,12;10,00;40,00;5,00;8,00;4,00;1,20;;0,01;0,01;0,00
PL8;Pericuara ;21;31,80;10,12;10,00;15,00;10,00;16,10;4,03;3,22;;0,01;0,01;0,01
PL139;Pericuara ;27;31,8;10,12;10;15;0;17,95;4,49;1,80;;0,01;0,02;0,01
PL6;Pericuara ;48;31,80;10,12;10,00;30,00;10,00;18,22;7,29;3,64;;0,01;0,03;0,01
PL6;Pericuara ;23B;31,80;10,12;10,00;40,00;10,00;19,80;9,90;3,96;;0,01;0,04;0,01
PL37;Pericuara ;1;31,90;10,15;10,00;10,00;0,00;7,27;1,45;0,73;2;0,01;0,01;0,00
PL110;Pericuara ;15;31,90;10,15;20,00;10,00;0,00;11,00;3,30;2,20;;0,01;0,01;0,01
PL32;Pericuara ;24;31,90;10,15;10,00;10,00;0,00;19,30;3,86;1,93;;0,01;0,01;0,01
PL37;Pericuara ;23;31,90;10,15;10,00;10,00;0,00;20,10;4,02;2,01;;0,01;0,01;0,01
PL37;Pericuara ;42;31,90;10,15;10,00;10,00;0,00;21,70;4,34;2,17;2;0,01;0,02;0,01
PL37;Pericuara ;16B;31,90;10,15;10,00;20,00;0,00;14,60;4,38;1,46;;0,01;0,02;0,01
PL87;Pericuara ;10;31,90;10,15;10,00;20,00;0,00;15,40;4,62;1,54;;0,01;0,02;0,01
PL37;Pericuara ;21;31,90;10,15;10,00;15,00;5,00;18,70;4,68;2,81;;0,01;0,02;0,01
PL34;Pericuara ;29;31,90;10,15;10,00;30,00;0,00;12,40;4,96;1,24;;0,01;0,02;0,00
PL69;Pericuara ;14;31,90;10,15;10,00;40,00;0,00;10,20;5,10;1,02;2;0,01;0,02;0,00
PL37;Pericuara ;19;31,90;10,15;10,00;10,00;0,00;25,70;5,14;2,57;;0,01;0,02;0,01
PL54;Pericuara ;18;31,90;10,15;10,00;15,00;0,00;22,70;5,68;2,27;;0,01;0,02;0,01
PL32;Pericuara ;31;31,90;10,15;10,00;20,00;0,00;19,70;5,91;1,97;2;0,01;0,02;0,01
PL34;Pericuara ;29D;31,90;10,15;10,00;50,00;0,00;12,60;7,56;1,26;;0,01;0,03;0,00
PL127;Pericuara ;14;31,90;10,15;10,00;35,00;0,00;17,20;7,74;1,72;2;0,01;0,03;0,01
PL87;Pericuara ;12;31,90;10,15;10,00;32,00;0,00;18,80;7,90;1,88;;0,01;0,03;0,01
PL1;Pericuara ;21;31,90;10,15;10,00;30,00;0,00;20,20;8,08;2,02;;0,01;0,03;0,01
PL34;Pericuara ;21B;31,90;10,15;10,00;40,00;0,00;16,33;8,17;1,63;;0,01;0,03;0,01
PL29;Pericuara ;7;31,90;10,15;10,00;50,00;0,00;13,70;8,22;1,37;;0,01;0,03;0,01
PL3;Pericuara ;2;31,90;10,15;10,00;25,00;0,00;25,20;8,82;2,52;2;0,01;0,03;0,01
PL1;Pericuara ;25;31,90;10,15;10,00;30,00;20,00;23,40;9,36;7,02;;0,01;0,03;0,03
PL170;Pericuara ;14;32,00;10,19;10;10;0;20,12;4,02;2,01;;0,01;0,01;0,01
PL34;Pericuara ;29C;32,00;10,19;10,00;30,00;0,00;12,30;4,92;1,23;;0,01;0,02;0,00
PL1;Pericuara ;29;32,00;10,19;10,00;20,00;10,00;19,30;5,79;3,86;;0,01;0,02;0,01
PL9;Pericuara ;5;32,00;10,19;10,00;35,00;20,00;16,00;7,20;4,80;;0,01;0,03;0,02
PL61;Pericuara ;4;32,00;10,19;10,00;25,00;15,00;20,70;7,25;5,18;;0,01;0,03;0,02
PL34;Pericuara ;27;32,00;10,19;10,00;45,00;10,00;14,20;7,81;2,84;;0,01;0,03;0,01
PL143;Pericuara ;15;32,10;10,22;10;10;0;17,52;3,50;1,75;;0,01;0,01;0,01
PL153;Pericuara ;29;32,1;10,22;10;15;5;19,6;4,90;2,94;;0,01;0,02;0,01
PL160;Pericuara ;12;32,10;10,22;10;40;20;14,00;7,00;4,20;;0,01;0,03;0,02
PL142;Pericuara ;28B;32,1;10,22;10;35;10;17,2;7,74;3,44;;0,01;0,03;0,01
PL84;Pericuara ;12;32,10;10,22;10,00;32,00;0,00;18,80;7,90;1,88;;0,01;0,03;0,01
PL84;Pericuara ;12;32,10;10,22;10,00;32,00;0,00;18,80;7,90;1,88;;0,01;0,03;0,01
PL133;Pericuara ;1;32,2;10,25;10;20;0;8,94;2,68;0,89;;0,01;0,01;0,00
PL40;Pericuara ;9;32,20;10,25;10,00;15,00;0,00;18,60;4,65;1,86;;0,01;0,02;0,01
PO122;Pericuara ;14;32,20;10,25;10,00;25,00;0,00;19,90;6,97;1,99;2;0,01;0,03;0,01
PL133;Pericuara ;25;32,2;10,25;10;35;10;15,68;7,06;3,14;;0,01;0,03;0,01
PL30;Pericuara ;35;32,20;10,25;10,00;40,00;0,00;15,00;7,50;1,50;2;0,01;0,03;0,01
PL142;Pericuara ;38;32,3;10,28;10;15;0;16,75;4,19;1,68;;0,01;0,02;0,01
PL153;Pericuara ;37B;32,3;10,28;10;30;10;16,53;6,61;3,31;;0,01;0,02;0,01
PL8;Pericuara ;27;32,30;10,28;10,00;40,00;10,00;14,00;7,00;2,80;;0,01;0,03;0,01
PL6;Pericuara ;29;32,30;10,28;10,00;45,00;20,00;21,62;11,89;6,49;;0,01;0,04;0,02
PL147;Pericuara ;31;32,4;10,31;10;25;10;16,97;5,94;3,39;;0,01;0,02;0,01
PL168;Pericuara ;4B;32,4;10,31;10;30;20;18,12;7,25;5,44;;0,01;0,03;0,02
PL69;Pericuara ;9;32,40;10,31;10,00;40,00;0,00;18,80;9,40;1,88;;0,01;0,04;0,01
PL135;Pericuara ;18B;32,5;10,35;10;25,00;10,00;20,43;7,15;4,09;2;0,01;0,03;0,02
PL133;Pericuara ;14;32,60;10,38;10;15,00;0,00;16,43;4,11;1,64;3;0,01;0,02;0,01
PL35 ;Pericuara ;12B;32,60;10,38;10,00;10,00;5,00;28,80;5,76;4,32;;0,01;0,02;0,02
PO125;Pericuara ;21;32,60;10,38;10,00;35,00;0,00;13,80;6,21;1,38;;0,01;0,02;0,01
PL101;Pericuara ;2B;32,60;10,38;10,00;25,00;0,00;18,90;6,62;1,89;2;0,01;0,03;0,01
PL142;Pericuara ;34;32,6;10,38;10;30;10;16,73;6,69;3,35;3;0,01;0,03;0,01
PL143;Pericuara ;6;32,80;10,44;10;15;0;19,80;4,95;1,98;;0,01;0,02;0,01
PL160;Pericuara ;26B;32,8;10,44;10;25;10;14,75;5,16;2,95;;0,01;0,02;0,01
PL30;Pericuara ;8B;32,80;10,44;10,00;33,00;0,00;16,20;6,97;1,62;;0,01;0,03;0,01
PL39;Pericuara ;37;32,90;10,47;10,00;40,00;0,00;12,10;6,05;1,21;;0,01;0,02;0,00
PL165;Pericuara ;54;32,9;10,47;10;30;15;18,18;7,27;4,55;;0,01;0,03;0,02
PO6;Pericuara ;21;33,00;10,50;10,00;30,00;15,00;10,80;4,32;2,70;2;0,01;0,02;0,01
PL34;Pericuara ;29B;33,00;10,50;10,00;60,00;0,00;12,20;8,54;1,22;;0,01;0,03;0,00
PL7;Pericuara ;34B;33,20;10,57;10,00;40,00;0,00;19,90;9,95;1,99;;0,01;0,04;0,01
PL29;Pericuara ;6;33,30;10,60;10,00;40,00;0,00;11,30;5,65;1,13;2;0,01;0,02;0,00
PL139;Pericuara ;10;33,30;10,60;10;30;10;14,60;5,84;2,92;;0,01;0,02;0,01
PL8;Pericuara ;23;33,30;10,60;10,00;40,00;10,00;13,00;6,50;2,60;;0,01;0,03;0,01
PL115;Pericuara ;3;33,40;10,63;10,00;10,00;0,00;14,30;2,86;1,43;;0,01;0,01;0,01
PL167;Pericuara ;53;33,4;10,63;10;25;10;17,78;6,22;3,56;;0,01;0,02;0,01
PL101;Pericuara ;33;33,50;10,66;10,00;25,00;0,00;12,23;4,28;1,22;2;0,01;0,02;0,00
PL144;Pericuara ;17;33,50;10,66;10;35,00;10,00;13,59;6,12;2,72;2;0,01;0,02;0,01
PL142;Pericuara ;3;33,50;10,66;10;30;10;18,14;7,26;3,63;3;0,01;0,03;0,01
PL164;Pericuara ;29B;33,6;10,70;10;20;10;15,92;4,78;3,18;;0,01;0,02;0,01
PL138;Pericuara ;23;33,6;10,70;10;30;15;13,23;5,29;3,31;;0,01;0,02;0,01
PL101;Pericuara ;32;33,70;10,73;10,00;20,00;0,00;16,40;4,92;1,64;;0,01;0,02;0,01
PL158;Pericuara ;44B;33,7;10,73;10;20;10;19,9;5,97;3,98;;0,01;0,02;0,02
PL129;Pericuara ;5;33,70;10,73;10,00;40,00;0,00;16,30;8,15;1,63;;0,01;0,03;0,01
PL129;Pericuara ;5;33,7;10,73;10;40;0;16,3;8,15;1,63;;0,01;0,03;0,01
PL40;Pericuara ;17;34,00;10,82;10,00;5,00;0,00;20,60;3,09;2,06;;0,01;0,01;0,01
PL34;Pericuara ;41;34,00;10,82;10,00;45,00;0,00;15,90;8,75;1,59;;0,01;0,04;0,01
PL39;Pericuara ;34;34,10;10,85;10,00;35,00;7,00;17,10;7,70;2,91;2;0,01;0,03;0,01
PL168;Pericuara ;27;34,1;10,85;10;40;15;16,9;8,45;4,23;;0,01;0,04;0,02
PL95;Pericuara ;16;34,20;10,89;10,00;15,00;10,00;17,70;4,43;3,54;;0,01;0,02;0,01
PL51;Pericuara ;14;34,30;10,92;10,00;40,00;0,00;12,10;6,05;1,21;;0,01;0,03;0,01
PL167;Pericuara ;60;34,3;10,92;10;45;20;17,67;9,72;5,30;;0,01;0,04;0,02
PL138;Pericuara ;29;34,4;10,95;10;20;10;13;3,90;2,60;;0,01;0,02;0,01
PL165;Pericuara ;11;34,40;10,95;10;35;10;14,87;6,69;2,97;;0,01;0,03;0,01
PL34;Pericuara ;23;34,40;10,95;10,00;40,00;0,00;14,90;7,45;1,49;;0,01;0,03;0,01
PO125;Pericuara ;1;34,40;10,95;10,00;35,00;0,00;18,50;8,33;1,85;;0,01;0,04;0,01
PL142;Pericuara ;4B;34,4;10,95;10;35;15;19,90;8,96;4,98;;0,01;0,04;0,02
PL147;Pericuara ;15;34,50;10,98;10;18;0;17,65;4,94;1,77;2;0,01;0,02;0,01
PO125;Pericuara ;14;34,50;10,98;10,00;20,00;0,00;18,10;5,43;1,81;;0,01;0,02;0,01
PL165;Pericuara ;27;34,5;10,98;10;30;10;17,18;6,87;3,44;;0,01;0,03;0,01
PL158;Pericuara ;23;34,60;11,01;10;20;10;14,29;4,29;2,86;;0,01;0,02;0,01
PL123;Pericuara ;14;34,60;11,01;10,00;40,00;0,00;12,10;6,05;1,21;;0,01;0,03;0,01
PL32;Pericuara ;4;34,60;11,01;10,00;30,00;0,00;15,30;6,12;1,53;2;0,01;0,03;0,01
PL143;Pericuara ;35;34,6;11,01;10;45;20;16,64;9,15;4,99;;0,01;0,04;0,02
PL163;Pericuara ;4B;34,7;11,05;10;35;10;18,2;8,19;3,64;;0,01;0,04;0,02
PL9;Pericuara ;33;34,80;11,08;10,00;20,00;15,00;23,73;7,12;5,93;2;0,01;0,03;0,03
PL34;Pericuara ;51;35,00;11,14;10,00;30,00;0,00;14,40;5,76;1,44;;0,01;0,03;0,01
PL29;Pericuara ;21;35,00;11,14;10,00;35,00;0,00;15,50;6,98;1,55;;0,01;0,03;0,01
PL138;Pericuara ;13;35,00;11,14;10;45;15;15,55;8,55;3,89;2;0,01;0,04;0,02
PL34;Pericuara ;36;35,00;11,14;10,00;60,00;10,00;18,90;13,23;3,78;;0,01;0,06;0,02
PL138;Pericuara ;14;35,1;11,17;10;25;10;16,4;5,74;3,28;;0,01;0,03;0,01
PL110;Pericuara ;8;35,10;11,17;10,00;30,00;0,00;15,80;6,32;1,58;;0,01;0,03;0,01
PL29;Pericuara ;15;35,20;11,20;10,00;35,00;0,00;12,40;5,58;1,24;2;0,01;0,02;0,01
PL100;Pericuara ;11;35,20;11,20;10,00;15,00;0,00;22,50;5,63;2,25;2;0,01;0,03;0,01
PL168;Pericuara ;3;35,2;11,20;10;30;15;18,16;7,26;4,54;;0,01;0,03;0,02
PL167;Pericuara ;36;35,2;11,20;10;35;15;17,89;8,05;4,47;;0,01;0,04;0,02
PL142;Pericuara ;7B;35,20;11,20;10;45;20;16,70;9,19;5,01;;0,01;0,04;0,02
PL127;Pericuara ;38;35,30;11,24;10,00;25,00;0,00;25,30;8,86;2,53;2;0,01;0,04;0,01
PL37;Pericuara ;20;35,40;11,27;10,00;15,00;5,00;18,80;4,70;2,82;2;0,01;0,02;0,01
PL115;Pericuara ;8;35,40;11,27;10,00;35,00;0,00;11,90;5,36;1,19;;0,01;0,02;0,01
PL165;Pericuara ;33;35,4;11,27;10;30;10;17;6,80;3,40;;0,01;0,03;0,02
PL39;Pericuara ;36;35,50;11,30;10,00;5,00;0,00;8,00;1,20;0,80;3;0,01;0,01;0,00
PL169;Pericuara ;22;35,5;11,30;10;30;10;16,81;6,72;3,36;;0,01;0,03;0,02
PL8;Pericuara ;26;35,50;11,30;10,00;65,00;10,00;10,27;7,70;2,05;;0,01;0,03;0,01
PL146;Pericuara ;14;35,6;11,33;10;30;15;16,6;6,64;4,15;;0,01;0,03;0,02
PL145;Pericuara ;30;35,6;11,33;10;40;15;17,7;8,85;4,43;;0,01;0,04;0,02
PL142;Pericuara ;4;35,6;11,33;10;35;15;20,11;9,05;5,03;;0,01;0,04;0,02
PL95;Pericuara ;18;35,70;11,36;10,00;15,00;10,00;15,20;3,80;3,04;;0,01;0,02;0,01
PL149;Pericuara ;19;35,7;11,36;10;20;0;17,4;5,22;1,74;3;0,01;0,02;0,01
PL169;Pericuara ;46;35,7;11,36;10;20;10;17,66;5,30;3,53;;0,01;0,02;0,02
PL7;Pericuara ;34;35,70;11,36;10,00;45,00;0,00;19,40;10,67;1,94;;0,01;0,05;0,01
PL135;Pericuara ;31;35,8;11,40;10;15;0;17,91;4,48;1,79;;0,01;0,02;0,01
PL165;Pericuara ;36B;35,8;11,40;10;30;15;17,39;6,96;4,35;;0,01;0,03;0,02
PL141;Pericuara ;10B;35,80;11,40;10;45;15;13,62;7,49;3,41;;0,01;0,03;0,02
PL162;Pericuara ;13;35,90;11,43;10;20;10;13,75;4,13;2,75;;0,01;0,02;0,01
PL138;Pericuara ;5B;35,90;11,43;10;25;10;16,45;5,76;3,29;2;0,01;0,03;0,02
PL54;Pericuara ;9;35,90;11,43;10,00;25,00;0,00;18,00;6,30;1,80;2;0,01;0,03;0,01
PL160;Pericuara ;24;35,9;11,43;10;40;15;14,68;7,34;3,67;;0,01;0,03;0,02
PL160;Pericuara ;54B;35,9;11,43;10;40;15;18,75;9,38;4,69;;0,01;0,04;0,02
PL61;Pericuara ;2;36,00;11,46;10,00;40,00;20,00;2,80;1,40;0,84;2;0,01;0,01;0,00
PL37;Pericuara ;10;36,00;11,46;10,00;10,00;5,00;17,80;3,56;2,67;2;0,01;0,02;0,01
PL34;Pericuara ;40;36,00;11,46;10,00;40,00;0,00;12,80;6,40;1,28;;0,01;0,03;0,01
PL7;Pericuara ;23;36,00;11,46;10,00;20,00;0,00;21,70;6,51;2,17;2;0,01;0,03;0,01
PL51;Pericuara ;7;36,00;11,46;10,00;35,00;0,00;16,60;7,47;1,66;2;0,01;0,03;0,01
PL123;Pericuara ;7;36,00;11,46;10,00;35,00;0,00;16,60;7,47;1,66;2;0,01;0,03;0,01
PL58;Pericuara ;13;36,00;11,46;10,00;52,00;0,00;13,70;8,49;1,37;;0,01;0,04;0,01
PL69;Pericuara ;16;36,00;11,46;10,00;50,00;0,00;14,80;8,88;1,48;;0,01;0,04;0,01
PL34;Pericuara ;7;36,00;11,46;10,00;50,00;5,00;17,10;10,26;2,57;;0,01;0,05;0,01
PL34;Pericuara ;50;36,00;11,46;10,00;45,00;15,00;21,50;11,83;5,38;2;0,01;0,06;0,03
PL132;Pericuara ;16;36,10;11,49;10;25,00;10,00;16,93;5,93;3,39;;0,01;0,03;0,02
PL142;Pericuara ;16;36,1;11,49;10;40;20;16,40;8,20;4,92;2;0,01;0,04;0,02
PL40;Pericuara ;10;36,20;11,52;10,00;10,00;0,00;11,20;2,24;1,12;2;0,01;0,01;0,01
PL134;Pericuara ;28;36,2;11,52;10;15;8;20,96;5,24;3,77;;0,01;0,02;0,02
PL135;Pericuara ;5;36,20;11,52;10;35;15;14,56;6,55;3,64;;0,01;0,03;0,02
PL165;Pericuara ;24;36,3;11,55;10;40;15;15,1;7,55;3,78;;0,01;0,04;0,02
PL168;Pericuara ;61;36,3;11,55;10;45;20;15,25;8,39;4,58;;0,01;0,04;0,02
PL29;Pericuara ;30;36,30;11,55;10,00;30,00;0,00;24,70;9,88;2,47;2;0,01;0,05;0,01
PL160;Pericuara ;55;36,4;11,59;10;25;10;14,18;4,96;2,84;;0,01;0,02;0,01
PL144;Pericuara ;10;36,40;11,59;10;25;10;15,53;5,44;3,11;2;0,01;0,03;0,01
PO125;Pericuara ;12;36,40;11,59;10,00;30,00;0,00;14,60;5,84;1,46;;0,01;0,03;0,01
PL139;Pericuara ;31;36,4;11,59;10;20;10;20,32;6,10;4,06;;0,01;0,03;0,02
PL39;Pericuara ;40;36,40;11,59;10,00;40,00;0,00;15,10;7,55;1,51;;0,01;0,04;0,01
PL1;Pericuara ;12;36,40;11,59;10,00;25,00;15,00;23,30;8,16;5,83;;0,01;0,04;0,03
PL54;Pericuara ;1;36,50;11,62;10,00;35,00;0,00;11,40;5,13;1,14;3;0,01;0,02;0,01
PL26;Pericuara ;20;36,50;11,62;10,00;15,00;10,00;25,90;6,48;5,18;;0,01;0,03;0,02
PL58;Pericuara ;4;36,50;11,62;10,00;55,00;0,00;12,10;7,87;1,21;;0,01;0,04;0,01
PL34;Pericuara ;12;36,60;11,65;10,00;30,00;0,00;9,20;3,68;0,92;;0,01;0,02;0,00
PL37;Pericuara ;37;36,60;11,65;10,00;10,00;0,00;25,00;5,00;2,50;2;0,01;0,02;0,01
PO125;Pericuara ;11;36,60;11,65;10,00;35,00;0,00;14,40;6,48;1,44;2;0,01;0,03;0,01
PL29;Pericuara ;27;36,60;11,65;10,00;40,00;0,00;16,40;8,20;1,64;2;0,01;0,04;0,01
PL33;Pericuara ;22;36,60;11,65;10,00;40,00;10,00;20,60;10,30;4,12;;0,01;0,05;0,02
PL95;Pericuara ;2;36,70;11,68;10,00;10,00;5,00;17,20;3,44;2,58;2;0,01;0,02;0,01
PL32;Pericuara ;7;36,70;11,68;10,00;20,00;0,00;18,90;5,67;1,89;2;0,01;0,03;0,01
PL138;Pericuara ;5;36,7;11,68;10;25;10;16,45;5,76;3,29;2;0,01;0,03;0,02
PL150;Pericuara ;27;36,7;11,68;10;25;10;16,86;5,90;3,37;;0,01;0,03;0,02
PL34;Pericuara ;34;36,70;11,68;10,00;25,00;0,00;20,10;7,04;2,01;2;0,01;0,03;0,01
PL167;Pericuara ;12;36,70;11,68;10;35;10;18,69;8,41;3,74;2;0,01;0,04;0,02
PL167;Pericuara ;34;36,7;11,68;10;40;20;18;9,00;5,40;;0,01;0,04;0,03
PL32;Pericuara ;19;36,80;11,71;10,00;25,00;0,00;10,10;3,54;1,01;;0,01;0,02;0,00
PL37;Pericuara ;6B;36,90;11,75;10,00;15,00;5,00;16,60;4,15;2,49;;0,01;0,02;0,01
PL169;Pericuara ;21;36,9;11,75;10;20;10;14,4;4,32;2,88;;0,01;0,02;0,01
PL144;Pericuara ;13;36,90;11,75;10;20;0;15,50;4,65;1,55;;0,01;0,02;0,01
PL141;Pericuara ;25B;36,9;11,75;10;25;10;20,1;7,04;4,02;2;0,01;0,03;0,02
PL30;Pericuara ;26;37,00;11,78;10,00;20,00;0,00;16,80;5,04;1,68;;0,01;0,02;0,01
PL98;Pericuara ;5;37,00;11,78;10,00;20,00;0,00;18,80;5,64;1,88;;0,01;0,03;0,01
PL51;Pericuara ;18;37,00;11,78;10,00;45,00;5,00;11,80;6,49;1,77;;0,01;0,03;0,01
PL123;Pericuara ;18;37,00;11,78;10,00;45,00;5,00;11,80;6,49;1,77;;0,01;0,03;0,01
PL69;Pericuara ;23;37,00;11,78;10,00;25,00;0,00;19,00;6,65;1,90;;0,01;0,03;0,01
PL58;Pericuara ;16;37,00;11,78;10,00;30,00;0,00;16,80;6,72;1,68;;0,01;0,03;0,01
PL135;Pericuara ;8;37,00;11,78;10;30;15;20,39;8,16;5,10;;0,01;0,04;0,03
PL135;Pericuara ;24B;37;11,78;10;40;15;18,23;9,12;4,56;;0,01;0,04;0,02
PL6;Pericuara ;23;37,00;11,78;10,00;40,00;10,00;19,90;9,95;3,98;;0,01;0,05;0,02
PL169;Pericuara ;14B;37,1;11,81;10;30;10;14,4;5,76;2,88;;0,01;0,03;0,01
PL27;Pericuara ;34;37,10;11,81;10,00;25,00;0,00;21,70;7,60;2,17;;0,01;0,04;0,01
PL165;Pericuara ;53;37,1;11,81;10;40;15;18,39;9,20;4,60;;0,01;0,05;0,02
PL163;Pericuara ;20;37,2;11,84;10;20;5;12,30;3,69;1,85;;0,01;0,02;0,01
PL147;Pericuara ;27;37,2;11,84;10;25;0;17,82;6,24;1,78;;0,01;0,03;0,01
PL133;Pericuara ;24B;37,2;11,84;10;30;5;15,74;6,30;2,36;2;0,01;0,03;0,01
PL37;Pericuara ;5;37,30;11,87;10,00;10,00;0,00;16,30;3,26;1,63;2;0,01;0,02;0,01
PL160;Pericuara ;26;37,3;11,87;10;25;10;14,74;5,16;2,95;;0,01;0,03;0,01
PL166;Pericuara ;2;37,3;11,87;10;30;10;17,15;6,86;3,43;;0,01;0,03;0,02
PL168;Pericuara ;21;37,3;11,87;10;45;20;14,93;8,21;4,48;;0,01;0,04;0,02
PL30;Pericuara ;23;37,30;11,87;10,00;50,00;0,00;15,90;9,54;1,59;;0,01;0,05;0,01
PL140;Pericuara ;23B;37,3;11,87;10;50;20;19,24;11,54;5,77;;0,01;0,06;0,03
PL37;Pericuara ;16;37,40;11,90;10,00;20,00;10,00;12,20;3,66;2,44;;0,01;0,02;0,01
PL92;Pericuara ;8;37,40;11,90;10,00;10,00;5,00;26,80;5,36;4,02;;0,01;0,03;0,02
PL168;Pericuara ;13;37,4;11,90;10;25;10;18,39;6,44;3,68;;0,01;0,03;0,02
PL134;Pericuara ;18;37,40;11,90;10;30;15;17,88;7,15;4,47;;0,01;0,04;0,02
PL169;Pericuara ;23;37,5;11,94;10;10;0;12,37;2,47;1,24;;0,01;0,01;0,01
PL169;Pericuara ;29;37,5;11,94;10;25;10;18,48;6,47;3,70;;0,01;0,03;0,02
PL142;Pericuara ;33;37,5;11,94;10;25;10;18,78;6,57;3,76;;0,01;0,03;0,02
PL155;Pericuara ;6;37,50;11,94;10;35;15;14,97;6,74;3,74;;0,01;0,03;0,02
PO125;Pericuara ;15;37,60;11,97;10,00;20,00;0,00;17,60;5,28;1,76;2;0,01;0,03;0,01
PL40;Pericuara ;6;37,60;11,97;10,00;20,00;10,00;19,30;5,79;3,86;;0,01;0,03;0,02
PL9;Pericuara ;2;37,60;11,97;10,00;35,00;20,00;16,87;7,59;5,06;2;0,01;0,04;0,03
PL168;Pericuara ;42;37,6;11,97;10;45;20;17,57;9,66;5,27;;0,01;0,05;0,03
PL34;Pericuara ;35B;37,60;11,97;10,00;40,00;0,00;21,80;10,90;2,18;2;0,01;0,06;0,01
PL154;Pericuara ;8;37,60;11,97;10;55;25;18,63;12,11;6,52;;0,01;0,06;0,03
PL39;Pericuara ;30;37,70;12,00;10,00;15,00;0,00;11,90;2,98;1,19;2;0,01;0,02;0,01
PO125;Pericuara ;8;37,70;12,00;10,00;20,00;0,00;11,90;3,57;1,19;2;0,01;0,02;0,01
PL167;Pericuara ;18;37,70;12,00;10;35;15;20,9;9,41;5,23;2;0,01;0,05;0,03
PL35 ;Pericuara ;6;37,80;12,03;10,00;10,00;5,00;21,00;4,20;3,15;;0,01;0,02;0,02
PL157;Pericuara ;2;37,8;12,03;10;25;10;21,58;7,55;4,32;2;0,01;0,04;0,02
PL151;Pericuara ;37;37,8;12,03;10;40;15;16,4;8,20;4,10;2;0,01;0,04;0,02
PL159;Pericuara ;6;37,80;12,03;10;30;15;21,00;8,40;5,25;2;0,01;0,04;0,03
PL154;Pericuara ;48;37,8;12,03;10;45;20;19,86;10,92;5,96;;0,01;0,06;0,03
PL141;Pericuara ;5;37,8;12,03;10;40;15;25,10;12,55;6,28;2;0,01;0,06;0,03
PL168;Pericuara ;30;37,9;12,06;10;30;10;16,6;6,64;3,32;2;0,01;0,03;0,02
PL167;Pericuara ;30;37,9;12,06;10;25;10;19,28;6,75;3,86;;0,01;0,03;0,02
PL151;Pericuara ;46;37,9;12,06;10;30;10;17,64;7,06;3,53;;0,01;0,04;0,02
PL165;Pericuara ;40;37,9;12,06;10;35;15;17,63;7,93;4,41;;0,01;0,04;0,02
PL167;Pericuara ;22;37,9;12,06;10;40;20;18;9,00;5,40;2;0,01;0,05;0,03
PL139;Pericuara ;14;37,90;12,06;10;50;30;20,64;12,38;8,26;;0,01;0,06;0,04
PL37;Pericuara ;32;38,00;12,10;10,00;10,00;0,00;17,00;3,40;1,70;2;0,01;0,02;0,01
PL32;Pericuara ;36;38,00;12,10;10,00;30,00;0,00;13,40;5,36;1,34;;0,01;0,03;0,01
PL26;Pericuara ;14;38,00;12,10;10,00;20,00;10,00;18,50;5,55;3,70;;0,01;0,03;0,02
PL58;Pericuara ;11;38,00;12,10;10,00;50,00;0,00;10,80;6,48;1,08;2;0,01;0,03;0,01
PO125;Pericuara ;18;38,00;12,10;10,00;45,00;0,00;13,20;7,26;1,32;2;0,01;0,04;0,01
PL7;Pericuara ;13;38,00;12,10;10,00;35,00;0,00;18,90;8,51;1,89;2;0,01;0,04;0,01
PL144;Pericuara ;29;38,1;12,13;10;15;10;15,78;3,95;3,16;3;0,01;0,02;0,02
PL37;Pericuara ;18;38,10;12,13;10,00;10,00;5,00;22,70;4,54;3,41;;0,01;0,02;0,02
PL164;Pericuara ;29;38,1;12,13;10;20;10;16,6;4,98;3,32;;0,01;0,03;0,02
PL142;Pericuara ;36;38,1;12,13;10;30;15;16,4;6,56;4,10;2;0,01;0,03;0,02
PL160;Pericuara ;27;38,1;12,13;10;40;15;18,12;9,06;4,53;2;0,01;0,05;0,02
